Path,Name,Type,Level,Total_size,Total_file_count,Error_info
C:\Users\kppk0\local_repos\subdirectory,testfolder,folder,0,1626,6,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder,folderA,folder,1,0,2,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderA,fileA.txt,file,2,0,0,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderA,fileB.txt,file,2,0,0,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder,folderB,folder,1,0,1,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderB,fileC.txt,file,2,0,0,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder,folderC,folder,1,0,2,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderC,fileE.txt,file,2,0,0,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderC,folderD,folder,2,0,1,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder\folderC\folderD,fileD.txt,file,3,0,0,NONE
C:\Users\kppk0\local_repos\subdirectory\testfolder,folderD - ショートカット.lnk,file,1,1626,0,NONE
